Ranking (Top 100) for the queries in Queries.txt in the format:
query_id Q0 doc_id rank BM25_score system_name

hurricane isabel damage:

1 Q0 Hurricane_Lenny 89 2.546661559926721 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Floyd 90 2.540696488721622 OkapiBM25NoStopNoStem
1 Q0 Tropical_cyclone_rainfall_forecasting 91 2.5338314229426335 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Michelle 92 2.5116099229225743 OkapiBM25NoStopNoStem
1 Q0 1938_New_England_hurricane 93 2.506684422142359 OkapiBM25NoStopNoStem
1 Q0 2009_Atlantic_hurricane_season 94 2.499366031750458 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Fifi%E2%80%93Orlene 95 2.494818512837159 OkapiBM25NoStopNoStem
1 Q0 Tropical_Storm_Allison 96 2.480795324930612 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Hazel 97 2.4724664003272157 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Patricia 98 2.470481960132701 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Bob 99 2.4638555609677395 OkapiBM25NoStopNoStem
1 Q0 Hurricane_Keith 100 2.4618380823787707 OkapiBM25NoStopNoStem

forecast models:

2 Q0 Tropical_cyclone_track_forecasting 1 6.654657170584773 OkapiBM25NoStopNoStem
2 Q0 Tropical_cyclone_rainfall_forecasting 2 6.578894083605244 OkapiBM25NoStopNoStem
2 Q0 Weather_forecasting 3 6.543603420574083 OkapiBM25NoStopNoStem
2 Q0 Tropical_cyclone_forecasting 4 6.03954476797666 OkapiBM25NoStopNoStem
2 Q0 National_Weather_Service 5 5.883975582709958 OkapiBM25NoStopNoStem
2 Q0 Meteorology 6 5.807376840702511 OkapiBM25NoStopNoStem
2 Q0 HURDAT 7 5.552363642933074 OkapiBM25NoStopNoStem
2 Q0 National_Hurricane_Center 8 5.441970528693744 OkapiBM25NoStopNoStem
2 Q0 Space_weather 9 5.304850464858231 OkapiBM25NoStopNoStem
2 Q0 Flood 10 5.125733094585502 OkapiBM25NoStopNoStem
2 Q0 Weather_station 11 5.081649119817588 OkapiBM25NoStopNoStem
2 Q0 Precipitation 12 5.04723006621665 OkapiBM25NoStopNoStem
2 Q0 Snow 13 5.01878368197399 OkapiBM25NoStopNoStem
2 Q0 Monsoon_of_South_Asia 14 4.993934632200869 OkapiBM25NoStopNoStem
2 Q0 Tropical_Storm_Erika 15 4.879626430982656 OkapiBM25NoStopNoStem
2 Q0 Joint_Typhoon_Warning_Center 16 4.819453370834726 OkapiBM25NoStopNoStem
2 Q0 Rain 17 4.783842059498987 OkapiBM25NoStopNoStem
2 Q0 Climate 18 4.761605205328174 OkapiBM25NoStopNoStem
2 Q0 El_Ni%C3%B1o%E2%80%93Southern_Oscillation 19 4.728751345484135 OkapiBM25NoStopNoStem
