Ranking (Top 100) for the queries in Queries.txt in the format:
query_id Q0 doc_id rank Lucene_score system_name

hurricane isabel damage:

2 Q0 Weather_forecasting 3 0.21726683 LuceneNoStopNoStem
2 Q0 Tropical_cyclone_forecasting 4 0.20717229 LuceneNoStopNoStem
2 Q0 National_Weather_Service 5 0.19401625 LuceneNoStopNoStem
2 Q0 National_Hurricane_Center 6 0.18304284 LuceneNoStopNoStem
2 Q0 HURDAT 7 0.13672183 LuceneNoStopNoStem
2 Q0 Meteorology 8 0.114872314 LuceneNoStopNoStem
2 Q0 Climate 9 0.11161227 LuceneNoStopNoStem
2 Q0 Joint_Typhoon_Warning_Center 10 0.109085724 LuceneNoStopNoStem
2 Q0 Flood 11 0.10903513 LuceneNoStopNoStem
2 Q0 Space_weather 12 0.108525515 LuceneNoStopNoStem
2 Q0 Weather_station 13 0.10830265 LuceneNoStopNoStem
2 Q0 Polar_low 14 0.10721416 LuceneNoStopNoStem
2 Q0 Precipitation 15 0.10106699 LuceneNoStopNoStem
2 Q0 Snow 16 0.10099065 LuceneNoStopNoStem
2 Q0 Rain 17 0.098713756 LuceneNoStopNoStem
2 Q0 Monsoon_of_South_Asia 18 0.097666286 LuceneNoStopNoStem
2 Q0 Geophysical_Fluid_Dynamics_Laboratory 19 0.09751389 LuceneNoStopNoStem
2 Q0 El_Ni%C3%B1o%E2%80%93Southern_Oscillation 20 0.09601797 LuceneNoStopNoStem
2 Q0 Global_warming 21 0.09526289 LuceneNoStopNoStem
2 Q0 Tropical_Storm_Erika 22 0.09447101 LuceneNoStopNoStem
2 Q0 Weather 23 0.093443364 LuceneNoStopNoStem
2 Q0 Hurricane_hunters 24 0.09189785 LuceneNoStopNoStem
2 Q0 Hurricane_Ione 25 0.09090477 LuceneNoStopNoStem
2 Q0 Thermohaline_circulation 26 0.08994939 LuceneNoStopNoStem
2 Q0 Atmospheric_convection 27 0.0889287 LuceneNoStopNoStem
2 Q0 Catastrophe_modeling 28 0.08820464 LuceneNoStopNoStem
2 Q0 Thunderstorm 29 0.08437477 LuceneNoStopNoStem
2 Q0 Nor%27easter 30 0.08352677 LuceneNoStopNoStem
2 Q0 2017_Pacific_hurricane_season 31 0.083339885 LuceneNoStopNoStem
2 Q0 Effects_of_Hurricane_Isabel_in_North_Carolina 32 0.081516296 LuceneNoStopNoStem
2 Q0 2006_Pacific_typhoon_season 33 0.07709202 LuceneNoStopNoStem
2 Q0 100-year_flood 34 0.07658154 LuceneNoStopNoStem
2 Q0 Freezing_rain 35 0.07658154 LuceneNoStopNoStem
2 Q0 Hurricane_Iris_(1995) 36 0.07658154 LuceneNoStopNoStem
2 Q0 Severe_weather 37 0.07602236 LuceneNoStopNoStem
2 Q0 1991_Perfect_Storm 38 0.07581186 LuceneNoStopNoStem
2 Q0 La_Ni%C3%B1a 39 0.07518354 LuceneNoStopNoStem
2 Q0 Hurricane_Paloma 40 0.07132676 LuceneNoStopNoStem
2 Q0 Space_environment 41 0.06720353 LuceneNoStopNoStem
2 Q0 Heat_wave 42 0.0657856 LuceneNoStopNoStem
2 Q0 World_Meteorological_Organization 43 0.0657856 LuceneNoStopNoStem
2 Q0 Eyewall_replacement_cycle 44 0.06363334 LuceneNoStopNoStem
